tech,n,n_mit,share,proj
Transmission,564,125,0.22163120567375885,62
Wind,127,25,0.1968503937007874,13
Geothermal,66,12,0.18181818181818182,6
Solar,430,61,0.14186046511627906,38
Storage,181,21,0.11602209944751381,14
Biomass,90,10,0.1111111111111111,7
Nuclear,84,8,0.09523809523809523,6
