trigger,n,share
Direct Action,3181,0.15348612786489746
Funding,9210,0.44439083232810617
Land,3801,0.18340168878166466
PMA/TVA,3535,0.17056694813027745
Permit,319,0.015392038600723764
Program,543,0.026200241254523523
Property Transaction,53,0.00255729794933655
Unknown,83,0.004004825090470446
