project_energy_type,process_type,n,median_days,median_months,p25_months,p75_months
Clean,CE,9074,20,0.657030223390276,0.19710906701708278,3.5808147174770038
Clean,EA,260,320.5,10.528909329829172,3.8929040735873848,21.246714848883048
Clean,EIS,298,1038,34.09986859395532,16.77890932982917,60.684954007884365
Fossil,CE,5028,27,0.8869908015768725,0.22996057818659657,3.2851511169513796
Fossil,EA,758,41,1.3469119579500657,0.6898817345597897,3.8354139290407354
Fossil,EIS,271,1001,32.88436268068331,16.98423127463863,61.46517739816031
Other,CE,13173,19,0.6241787122207622,0.22996057818659657,2.135348226018397
Other,EA,718,209,6.865965834428383,2.759526938239159,16.934954007884365
Other,EIS,760,1035,34.001314060446774,15.013140604467806,66.95959264126151
