"group","n","ce_share","blm_share","federal_land_trigger_share","visual_section_pct"
"Geothermal (All Agencies)",873,0.938144329896907,0.124856815578465,0.139747995418099,1
"Oil & Gas (All Agencies)",8875,0.861183098591549,0.782535211267606,NA,NA
"Decarbonization Average",20725,0.936019300361882,0.172303980699638,0.183401688781665,0.912280701754386
"Fossil Fuel Average",10783,0.852360196605768,0.723360845775758,NA,NA
