"project_energy_type","process_type","n","pct"
"Clean","CE",16137,0.979662457503643
"Clean","EA",194,0.0117775619232637
"Clean","EIS",141,0.00855998057309374
"Fossil","CE",2368,0.902095238095238
"Fossil","EA",76,0.028952380952381
"Fossil","EIS",181,0.0689523809523809
