process_group,n,p10,p25,median_months,p75,p90,group
CE,811,0.0328515111695138,0.1314060446780552,0.657030223390276,4.221419185282523,23.62023653088042,solar
EA,58,1.5932982917214191,5.215177398160315,11.793692509855452,25.15604467805519,36.297634691195796,solar
EIS,71,6.471747700394218,11.90867279894875,22.339027595269382,43.85676741130092,72.01051248357425,solar
CE,9074,0.0328515111695138,0.19710906701708278,0.657030223390276,3.5808147174770038,17.664257555847563,decarb_reference
EA,260,1.409329829172142,3.8929040735873848,10.528909329829172,21.246714848883048,40.814717477003924,decarb_reference
EIS,298,7.35545335085414,16.77890932982917,34.09986859395532,60.684954007884365,106.20893561103811,decarb_reference
