process_type,n,median_days,p10_days,p25_days,p75_days,p90_days,mean_days,pct_lt_1y,pct_gt_5y,median_months,p10_months,p90_months
CE,27275,20,2,7,84,408,178.90669110907425,0.8874060494958753,0.011952337305224565,0.7,0.1,13.4
EA,1736,117,17,34,350,799,330.60426267281105,0.7603686635944701,0.02707373271889401,3.8,0.6,26.2
EIS,1329,1021,172.60000000000002,488,1957,3297.6000000000004,1427.18359668924,0.19714070729872085,0.27163280662151995,33.5,5.7,108.3
