pt,n,pct,law,n_win
Semiconductors,40,0.374496769965359,BIL,10681
Surface Transportation - Bridges,42,0.393221608463627,BIL,10681
Surface Transportation - Other,1191,11.150641325718565,BIL,10681
Surface Transportation - Public Transportation,67,0.6272820896919764,BIL,10681
Surface Transportation - Railroads,41,0.383859189214493,BIL,10681
Threatened and Endangered Species Management,539,5.0463439752832135,BIL,10681
"Utilities (electricity, gas, telecommunications)",2850,26.682894860031833,BIL,10681
Vegetation and Fuels Management,699,6.544331055144649,BIL,10681
Waste Management,4197,39.2940735886153,BIL,10681
Water Resources - Irrigation and Water Supply,422,3.950940923134538,BIL,10681
Water Resources - Other,1629,15.251380956839247,BIL,10681
Agriculture,383,4.6390503875969,IRA,8256
Artificial Intelligence and Machine Learning,110,1.3323643410852712,IRA,8256
Aviation - Airports and Air Traffic,96,1.1627906976744187,IRA,8256
Aviation - Commercial Space,10,0.12112403100775193,IRA,8256
Broadband,306,3.7063953488372094,IRA,8256
Carbon Capture and Sequestration,404,4.8934108527131785,IRA,8256
Conventional Energy Production - Coal,60,0.7267441860465116,IRA,8256
Conventional Energy Production - Land-based Oil & Gas,1134,13.73546511627907,IRA,8256
Conventional Energy Production - Nuclear,61,0.7388565891472868,IRA,8256
Conventional Energy Production - Offshore Oil and Gas,5,0.060562015503875966,IRA,8256
Conventional Energy Production - Other,107,1.2960271317829457,IRA,8256
Conventional Energy Production - Rural Energy,30,0.3633720930232558,IRA,8256
Cybersecurity,84,1.0174418604651163,IRA,8256
Data Storage and Data Management,125,1.5140503875968991,IRA,8256
Ecosystem Management and Restoration,1043,12.633236434108527,IRA,8256
Electricity Transmission,1267,15.34641472868217,IRA,8256
Emergency and Disaster Response,72,0.872093023255814,IRA,8256
Habitat Conservation Plan,91,1.1022286821705427,IRA,8256
High Performance Computing and Advanced Computer Hardware and Software,125,1.5140503875968991,IRA,8256
Land Development - Housing,144,1.744186046511628,IRA,8256
Land Development - Other,1425,17.260174418604652,IRA,8256
Land Development - Urban,170,2.059108527131783,IRA,8256
Land Use or Forest Management Plan,528,6.395348837209302,IRA,8256
"Laws, Policies, Regulations, and Guidance",522,6.3226744186046515,IRA,8256
Manufacturing,910,11.022286821705427,IRA,8256
Military and Defense,125,1.5140503875968991,IRA,8256
Mining - Marine Minerals,1,0.012112403100775194,IRA,8256
Mining - Metals,96,1.1627906976744187,IRA,8256
Mining - Non-Metallic Minerals,159,1.9258720930232558,IRA,8256
Nuclear Technology,849,10.283430232558139,IRA,8256
Other,1,0.012112403100775194,IRA,8256
Pipelines,792,9.593023255813954,IRA,8256
Ports and Waterways,25,0.30281007751937983,IRA,8256
Public and Recreational Land Use,734,8.890503875968992,IRA,8256
Quantum Information Science and Technology,7,0.08478682170542635,IRA,8256
Rangeland Management,412,4.99031007751938,IRA,8256
Renewable Energy Production - Biomass,173,2.0954457364341086,IRA,8256
Renewable Energy Production - Energy Storage,465,5.632267441860465,IRA,8256
Renewable Energy Production - Geothermal,96,1.1627906976744187,IRA,8256
Renewable Energy Production - Hydrokinetic,43,0.5208333333333334,IRA,8256
Renewable Energy Production - Hydropower,39,0.47238372093023256,IRA,8256
Renewable Energy Production - Other,158,1.9137596899224807,IRA,8256
Renewable Energy Production - Solar,426,5.159883720930233,IRA,8256
"Renewable Energy Production - Wind, Offshore",42,0.5087209302325582,IRA,8256
"Renewable Energy Production - Wind, Onshore",64,0.7751937984496124,IRA,8256
Research and Development,2714,32.873062015503876,IRA,8256
Routine Maintenance,347,4.203003875968992,IRA,8256
Semiconductors,31,0.375484496124031,IRA,8256
Surface Transportation - Bridges,26,0.31492248062015504,IRA,8256
Surface Transportation - Other,876,10.61046511627907,IRA,8256
Surface Transportation - Public Transportation,62,0.750968992248062,IRA,8256
Surface Transportation - Railroads,33,0.3997093023255814,IRA,8256
Threatened and Endangered Species Management,401,4.857073643410852,IRA,8256
"Utilities (electricity, gas, telecommunications)",2254,27.301356589147286,IRA,8256
Vegetation and Fuels Management,516,6.25,IRA,8256
Waste Management,3255,39.42587209302326,IRA,8256
Water Resources - Irrigation and Water Supply,296,3.5852713178294575,IRA,8256
Water Resources - Other,1240,15.01937984496124,IRA,8256
