subset,law,window_mean_monthly,baseline_mean_monthly,spike_ratio
All CE,ARRA,206.2941176470588,NA,NA
All CE,BIL,427.76,348.3611111111111,1.227921218403636
All CE,IRA,330.4,379.5,0.870619235836627
DOE,ARRA,205.96969696969697,NA,NA
DOE,BIL,262.96,164.44444444444446,1.599081081081081
DOE,IRA,209.92,196.08333333333334,1.0705652358691031
BLM,ARRA,6.363636363636363,NA,NA
BLM,BIL,163.08,181.97222222222223,0.896180735765532
BLM,IRA,119.48,181.55555555555554,0.6580905752753978
